,0,1,2
280,Çikolatalı Sultan Lokum 250 g,₺ 50.00,Malatya Pazarı Palancı
281,Böğürtlenli Fındıklı Sarma Lokum 500 g,₺ 145.00,Malatya Pazarı Palancı
282,Lokum Sultan Kaskaslı 250 g,₺ 50.00,Malatya Pazarı Palancı
283,Cevizli Sarma Rulo Lokum 250 g,₺ 70.00,Malatya Pazarı Palancı
284,Böğürtlenli Fındıklı Sarma Lokum 250 g,₺ 75.00,Malatya Pazarı Palancı
285,Lokum Sultan Kaskaslı 500 g,₺ 95.00,Malatya Pazarı Palancı
286,Çikolatalı Sultan Lokum 500 g,₺ 90.00,Malatya Pazarı Palancı
287,Sultan İçi Dışı Ant.Fıstıklı Lokum 500 g,₺ 260.00,Malatya Pazarı Palancı
288,Gül Yapraklı Narlı Fitil Lokum 500 g,₺ 230.00,Malatya Pazarı Palancı
289,Zereçli Narlı Fitil Lokum 250 g,₺ 110.00,Malatya Pazarı Palancı
290,Fıstıklı Sultan Lokum 250 g,₺ 95.00,Malatya Pazarı Palancı
291,Safranlı Narlı Fitil Lokum 250 g,₺ 110.00,Malatya Pazarı Palancı
292,Zereçli Narlı Fitil Lokum 500 g,₺ 210.00,Malatya Pazarı Palancı
293,Fıstıklı Sultan Lokum 500 g,₺ 180.00,Malatya Pazarı Palancı
294,Cevizli Sarma Rulo Lokum 500 g,₺ 135.00,Malatya Pazarı Palancı
295,Safranlı Narlı Fitil Lokum 500 g,₺ 210.00,Malatya Pazarı Palancı
296,Gül Yapraklı Narlı Fitil Lokum 250 g,₺ 120.00,Malatya Pazarı Palancı
297,File Fıstıklı Bal Aromalı Fitil Lokum 500 g,₺ 310.00,Malatya Pazarı Palancı
298,Sultan İçi Dışı Ant.Fıstıklı Lokum 250 g,₺ 135.00,Malatya Pazarı Palancı
299,File Fıstıklı Bal Aromalı Fitil Lokum 250 g,₺ 155.00,Malatya Pazarı Palancı
300,Kadayıflı Bal Aromalı Fitil Lokum 250 g,₺ 110.00,Malatya Pazarı Palancı
301,Narlı Fitil Lokum 250 g,₺ 99.00,Malatya Pazarı Palancı
302,Ballı Fitil Lokum 500 g,₺ 185.00,Malatya Pazarı Palancı
303,Narlı Fitil Lokum 500 g,₺ 185.00,Malatya Pazarı Palancı
304,File Fıstıklı Nar Aromalı Fitil Lokum 500 g,₺ 310.00,Malatya Pazarı Palancı
305,Kadayıflı Bal Aromalı Fitil Lokum 500 g,₺ 210.00,Malatya Pazarı Palancı
306,Narlı Toz Fıstıklı Fitil Lokum 500 g,₺ 310.00,Malatya Pazarı Palancı
307,Ballı Fitil Lokum 250 g,₺ 99.00,Malatya Pazarı Palancı
308,Kadayıflı Nar Aromalı Fitil Lokum 500 g,₺ 210.00,Malatya Pazarı Palancı
309,Karışık Sarma Lokum 400 G,₺ 140.00,Malatya Pazarı Palancı
310,Narlı Toz Fıstıklı Fitil Lokum 250 g,₺ 155.00,Malatya Pazarı Palancı
311,Kadayıflı Nar Aromalı Fitil Lokum 250 g,₺ 110.00,Malatya Pazarı Palancı
312,Meyvedar Meyveli Kuş Lokum 400 Gr (Soft),₺ 50.00,Malatya Pazarı Palancı
313,File Fıstıklı Nar Aromalı Fitil Lokum 250 g,₺ 155.00,Malatya Pazarı Palancı
314,Damla Sakızlı Lokum 500 g,₺ 80.00,Malatya Pazarı Palancı
315,Sade Lokum 500 g,₺ 75.00,Malatya Pazarı Palancı
316,Karışık Fitil Lokum 400 G,₺ 195.00,Malatya Pazarı Palancı
317,Güllü Lokum 250 g,₺ 40.00,Malatya Pazarı Palancı
318,Sade Lokum 250 g,₺ 40.00,Malatya Pazarı Palancı
319,Karışık Paşa Lokum 400 G,₺ 170.00,Malatya Pazarı Palancı
320,Meyveli Kuş Lokumu 500 g,₺ 75.00,Malatya Pazarı Palancı
321,Meyveli Kuş Lokumu 250 g,₺ 40.00,Malatya Pazarı Palancı
322,Meyvedar Nar Aromalı Lokum 400 Gr (Soft),₺ 50.00,Malatya Pazarı Palancı
